"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"8",0.002,0,0,0,0.001,0.001,0,0,0,0,0,0
"9",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
