"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",NA,NA,NA,NA,NA,NA,0.008,NA,0.015,0.02,NA,NA
"2",NA,NA,NA,NA,NA,NA,0.018,NA,0.023,0.009,NA,NA
"3",NA,NA,NA,NA,NA,NA,0.458,NA,0.429,0.452,NA,NA
"4",NA,NA,NA,NA,NA,NA,0.452,NA,0.481,0.45,NA,NA
"5",NA,NA,NA,NA,NA,NA,0.051,NA,0.045,0.058,NA,NA
"6",NA,NA,NA,NA,NA,NA,0.475,NA,0.501,0.498,NA,NA
"7",0.99,0.982,0.542,0.548,0.948,0.523,0.5,0.516,0.507,0.528,0.445,0.534
"8",NA,NA,NA,NA,NA,NA,0.484,NA,0.486,0.48,NA,NA
"9",0.985,0.975,0.571,0.519,0.954,0.498,0.493,0.514,0.5,0.476,0.45,0.538
"10",0.979,0.989,0.548,0.55,0.941,0.502,0.472,0.52,0.525,0.5,0.462,0.543
"11",NA,NA,NA,NA,NA,NA,0.555,NA,0.55,0.538,NA,NA
"12",NA,NA,NA,NA,NA,NA,0.465,NA,0.46,0.456,NA,NA
